legId,searchDate,flightDate,startingAirport,destinationAirport,fareBasisCode,travelDuration,elapsedDays,isBasicEconomy,isRefundable,isNonStop,baseFare,totalFare,seatsRemaining,totalTravelDistance,segmentsDepartureTimeEpochSeconds,segmentsDepartureTimeRaw,segmentsArrivalTimeEpochSeconds,segmentsArrivalTimeRaw,segmentsArrivalAirportCode,segmentsDepartureAirportCode,segmentsAirlineName,segmentsAirlineCode,segmentsEquipmentDescription,segmentsDurationInSeconds,segmentsDistance,segmentsCabinCode
9661f8606b490c94e3590486ed558cbf,2022-04-27,2022-05-10,CLT,DTW,RA7NR,PT9H39M,0,False,False,False,138.00,244.08,0,,1652206800||1652231700,2022-05-10T14:20:00.000-04:00||2022-05-10T21:15:00.000-04:00,1652212800||1652241540,2022-05-10T16:00:00.000-04:00||2022-05-10T23:59:00.000-04:00,MCO||DTW,CLT||MCO,Spirit Airlines||Spirit Airlines,NK||NK,AIRBUS INDUSTRIE A321 SHARKLETS||AIRBUS INDUSTRIE A321 SHARKLETS,6000||9840,None||None,coach||coach
ecfb10a65ac4a022e92d852fce3b2495,2022-06-25,2022-08-06,ORD,EWR,VAA3AKEN,PT6H12M,0,False,False,False,321.86,369.60,9,1164,1659800460||1659814200,2022-08-06T10:41:00.000-05:00||2022-08-06T14:30:00.000-05:00,1659806220||1659822780,2022-08-06T12:17:00.000-05:00||2022-08-06T17:53:00.000-04:00,BNA||EWR,ORD||BNA,United||United,UA||UA,Embraer 175 (Enhanced Winglets)||Airbus A319,5760||8580,403||761,coach||coach
fde2c64a4b9875e0bdb316cb8606c213,2022-04-16,2022-04-21,LAX,DTW,MA3NR,PT4H20M,1,False,False,True,214.00,270.59,0,,1650601680,2022-04-21T21:28:00.000-07:00,1650617280,2022-04-22T04:48:00.000-04:00,DTW,LAX,Spirit Airlines,NK,AIRBUS INDUSTRIE A320 SHARKLETS,15600,None,coach
43934f126e54c37991290d27f5982033,2022-06-20,2022-08-03,JFK,SFO,HAUOA0MQ,PT14H15M,0,False,False,False,467.91,532.20,9,2569,1659524340||1659568200,2022-08-03T06:59:00.000-04:00||2022-08-03T17:10:00.000-06:00,1659543180||1659575640,2022-08-03T10:13:00.000-06:00||2022-08-03T18:14:00.000-07:00,SLC||SFO,JFK||SLC,Delta||Delta,DL||DL,Boeing 737-900||Airbus A319,18840||7440,1970||599,coach||coach
f8756032ab85c01d0829c42e81de1888,2022-04-30,2022-06-24,PHL,DEN,EAA0OKEN,PT6H9M,0,False,False,False,561.86,623.10,3,672,1656072780||1656085200,2022-06-24T08:13:00.000-04:00||2022-06-24T10:40:00.000-05:00,1656081240||1656094920,2022-06-24T09:34:00.000-05:00||2022-06-24T12:22:00.000-06:00,ORD||DEN,PHL||ORD,United||United,UA||UA,Airbus A319||Boeing 737-900,8460||9720,672||903,coach||coach
ce0d28a3d369bea2fff069e6c6921e3a,2022-04-30,2022-06-27,SFO,ATL,K0AIZNN1,PT9H4M,0,False,False,False,519.07,581.60,7,2193,1656334800||1656359700,2022-06-27T06:00:00.000-07:00||2022-06-27T14:55:00.000-05:00,1656347640||1656367440,2022-06-27T11:34:00.000-05:00||2022-06-27T18:04:00.000-04:00,DFW||ATL,SFO||DFW,American Airlines||American Airlines,AA||AA,Airbus A321||Airbus A321,12840||7740,1468||725,coach||coach
6bbee0c3aab3d43f8dfdd48b67c204e5,2022-04-30,2022-06-19,LAX,DTW,MA7OA0MQ,PT4H24M,0,False,False,True,557.21,613.60,9,1985,1655666280,2022-06-19T12:18:00.000-07:00,1655682120,2022-06-19T19:42:00.000-04:00,DTW,LAX,Delta,DL,Boeing 757,15840,1985,coach
101c37a43caf5b5db92e9bab33fcb79f,2022-05-07,2022-06-30,MIA,DFW,LATNA0MC,PT4H54M,0,False,False,False,231.63,272.60,9,1321,1656633900||1656643500,2022-06-30T20:05:00.000-04:00||2022-06-30T22:45:00.000-04:00,1656641220||1656651540,2022-06-30T22:07:00.000-04:00||2022-06-30T23:59:00.000-05:00,ATL||DFW,MIA||ATL,Delta||Delta,DL||DL,Airbus A321||Airbus A321,7320||8040,596||725,coach||coach
ba85b8febe3db0cd7439e4db951a45fd,2022-06-10,2022-06-17,ORD,DFW,HA7OA0MC,PT8H5M,0,False,False,False,395.35,448.60,4,1325,1655496540||1655517540,2022-06-17T15:09:00.000-05:00||2022-06-17T21:59:00.000-04:00,1655503920||1655525640,2022-06-17T18:12:00.000-04:00||2022-06-17T23:14:00.000-05:00,ATL||DAL,ORD||ATL,Delta||Delta,DL||DL,Airbus A321||Boeing 717,7380||8100,600||725,coach||coach
adc985be5cf7461c7e2094f8a37a5b7c,2022-05-30,2022-07-05,OAK,LGA,KA0UA0MQ,PT14H47M,1,False,False,False,584.19,656.10,9,3140,1657072200||1657090740||1657112700,2022-07-05T18:50:00.000-07:00||2022-07-05T23:59:00.000-07:00||2022-07-06T08:05:00.000-05:00,1657077300||1657102740||1657125420,2022-07-05T20:15:00.000-07:00||2022-07-06T05:19:00.000-05:00||2022-07-06T12:37:00.000-04:00,LAX||IAH||LGA,OAK||LAX||IAH,Delta||United||United,DL||UA||UA,Embraer 175 (Enhanced Winglets)||Boeing 737 MAX 9||Airbus A319,5100||12000||12720,338||1383||1419,coach||coach||coach
c7d339b8aeab0a4307a1ef864fc9a360,2022-05-12,2022-06-24,MIA,ATL,GUAIZNN1,PT2H3M,0,False,False,True,160.93,187.60,5,596,1656086940,2022-06-24T12:09:00.000-04:00,1656094320,2022-06-24T14:12:00.000-04:00,ATL,MIA,American Airlines,AA,Embraer 175,7380,596,coach
cdd7e6b418d840d58445293023b501c7,2022-06-22,2022-06-24,OAK,EWR,KA0UA0MC,PT9H20M,1,False,False,False,481.86,541.60,1,2796,1656121800||1656135780,2022-06-24T18:50:00.000-07:00||2022-06-24T22:43:00.000-07:00,1656126900||1656155400,2022-06-24T20:15:00.000-07:00||2022-06-25T07:10:00.000-04:00,LAX||EWR,OAK||LAX,Delta||Alaska Airlines,DL||AS,Embraer 175 (Enhanced Winglets)||Boeing 737-900,5100||19620,338||2458,coach||coach
3a46c777ace42685edc6a0ae29c8889d,2022-05-18,2022-06-14,LAX,DTW,HH0JUEL1,PT9H57M,0,False,False,False,567.44,633.60,7,2943,1655193540||1655222400,2022-06-14T00:59:00.000-07:00||2022-06-14T12:00:00.000-04:00,1655213400||1655229360,2022-06-14T09:30:00.000-04:00||2022-06-14T13:56:00.000-04:00,JFK||DTW,LAX||JFK,JetBlue Airways||JetBlue Airways,B6||B6,Airbus A319-321||Embraer 190,19860||6960,2458||485,coach||coach
efad08480307f5415206d66de6a49d58,2022-04-25,2022-05-13,CLT,EWR,VUAHZNN1,PT1H48M,0,False,False,True,171.16,197.10,7,545,1652454600,2022-05-13T11:10:00.000-04:00,1652461080,2022-05-13T12:58:00.000-04:00,EWR,CLT,JetBlue Airways,B6,Airbus A320,6480,545,coach
55ab7adaa0ac960455378f21469a2dab,2022-05-28,2022-06-22,ORD,IAD,QIP,PT8H31M,0,False,False,False,412.39,466.92,1,1064,1655922000||1655929740||1655939520||1655947200,2022-06-22T13:20:00.000-05:00||2022-06-22T15:29:00.000-05:00||2022-06-22T18:12:00.000-05:00||2022-06-22T21:20:00.000-04:00,1655927940||1655932500||1655945040||1655952660,2022-06-22T14:59:00.000-05:00||2022-06-22T16:15:00.000-05:00||2022-06-22T20:44:00.000-04:00||2022-06-22T22:51:00.000-04:00,UIN||STL||DTW||IAD,ORD||UIN||STL||DTW,Cape Air||Cape Air||Delta||Delta,9K||9K||DL||DL,Tecnam P2012 Traveler||Tecnam P2012 Traveler||Boeing 717||Canadair Regional Jet 900,5940||2760||5520||5460,222||93||451||391,coach||coach||coach||coach
2eef409e6fd704181aee88abe126a478,2022-06-11,2022-07-15,DEN,MIA,QA0NA0MC,PT7H29M,0,False,False,False,378.61,430.61,9,2466,1657917000||1657927320,2022-07-15T14:30:00.000-06:00||2022-07-15T17:22:00.000-06:00,1657922640||1657943940,2022-07-15T16:04:00.000-06:00||2022-07-15T23:59:00.000-04:00,SLC||MIA,DEN||SLC,Delta||Delta,DL||DL,Airbus A319||Boeing 737-900,5640||16620,380||2086,coach||coach
6f3431c043dc57d75d5ca06a31694350,2022-04-18,2022-05-18,OAK,ATL,KA0NA0MC,PT13H49M,0,False,False,False,563.72,639.70,9,2175,1652878560||1652905740||1652917680,2022-05-18T05:56:00.000-07:00||2022-05-18T14:29:00.000-06:00||2022-05-18T17:48:00.000-06:00,1652885700||1652910900||1652928300,2022-05-18T08:55:00.000-06:00||2022-05-18T15:55:00.000-06:00||2022-05-18T22:45:00.000-04:00,SLC||DEN||ATL,OAK||SLC||DEN,Delta||United||United,DL||UA||UA,Embraer 175 (Enhanced Winglets)||Airbus A320||Boeing 737 MAX 9,7140||5160||10620,588||380||1207,coach||coach||coach
1cf75faf6d726c4523abde3b3ad9b244,2022-06-14,2022-06-27,LAX,PHL,V7AWZNN1,PT8H50M,1,False,False,False,386.05,438.60,3,2407,1656381600||1656395940,2022-06-27T19:00:00.000-07:00||2022-06-27T22:59:00.000-07:00,1656386040||1656413400,2022-06-27T20:14:00.000-07:00||2022-06-28T06:50:00.000-04:00,LAS||PHL,LAX||LAS,American Airlines||American Airlines,AA||AA,Airbus A319||Airbus A321,4440||17460,241||2166,coach||coach
405cfdeffe63bf9343289e74f9b6a778,2022-05-27,2022-06-21,LGA,BOS,QL2AUEY8,PT1H27M,0,False,False,True,60.47,79.61,5,185,1655841600,2022-06-21T16:00:00.000-04:00,1655846820,2022-06-21T17:27:00.000-04:00,BOS,LGA,American Airlines,AA,Embraer 190,5220,185,coach
f0d64eda98b3025ca216bc423e4f0ae9,2022-06-04,2022-07-27,BOS,LGA,QL2AUEY8,PT1H24M,0,False,False,True,60.47,79.61,5,185,1658955600,2022-07-27T17:00:00.000-04:00,1658960640,2022-07-27T18:24:00.000-04:00,LGA,BOS,American Airlines,AA,Embraer 190,5040,185,coach
099e189ce9c8e46af1ca468810d2c2c2,2022-04-24,2022-04-26,BOS,SFO,VAA3PQEN,PT10H19M,0,False,False,False,288.37,333.60,7,3243,1650971700||1650993180,2022-04-26T07:15:00.000-04:00||2022-04-26T12:13:00.000-05:00,1650987600||1651008840,2022-04-26T10:40:00.000-05:00||2022-04-26T14:34:00.000-07:00,IAH||SFO,BOS||IAH,United||United,UA||UA,Boeing 737-900||Boeing 737-800,15900||15660,1602||1641,coach||coach
24fee7aa9e44a53c65ef75ac91e8c215,2022-04-30,2022-05-07,BOS,ORD,TAA0OHEN,PT7H34M,0,False,False,False,115.35,147.60,4,905,1651924980||1651943280,2022-05-07T08:03:00.000-04:00||2022-05-07T13:08:00.000-04:00,1651930020||1651952220,2022-05-07T09:27:00.000-04:00||2022-05-07T14:37:00.000-05:00,EWR||ORD,BOS||EWR,United||United,UA||UA,Boeing 737-700||Boeing 737-800,5040||8940,185||720,coach||coach
5a73fd72f7bba51cfa08dd6839623bce,2022-04-18,2022-04-25,JFK,LAX,V7AZZNN1,PT11H11M,0,False,False,False,171.16,207.60,7,2618,1650882600||1650910800,2022-04-25T06:30:00.000-04:00||2022-04-25T13:20:00.000-05:00,1650897360||1650922860,2022-04-25T09:36:00.000-05:00||2022-04-25T14:41:00.000-07:00,DFW||LAX,JFK||DFW,American Airlines||American Airlines,AA||AA,Boeing 737-800||Airbus A321,14760||12060,1380||1238,coach||coach
4a7cd73375826084c9f180e903661bdb,2022-05-06,2022-05-14,PHL,DEN,HAA0OKEN,PT4H15M,0,False,False,True,375.81,418.60,9,1567,1652557440,2022-05-14T15:44:00.000-04:00,1652572740,2022-05-14T17:59:00.000-06:00,DEN,PHL,United,UA,Airbus A320,15300,1567,coach
fa9b2a57abc19efcfbfc70bb8559af0e,2022-06-25,2022-08-10,PHL,LGA,KAUOA0MQ,PT3H59M,0,False,False,False,500.47,561.61,9,932,1660140000||1660148100,2022-08-10T10:00:00.000-04:00||2022-08-10T12:15:00.000-04:00,1660146300||1660154340,2022-08-10T11:45:00.000-04:00||2022-08-10T13:59:00.000-04:00,DTW||LGA,PHL||DTW,Delta||Delta,DL||DL,Airbus A319||Airbus A319,6300||6240,447||485,coach||coach
916af3f1194446651f0c042ea3d31603,2022-06-20,2022-08-02,PHL,EWR,KA7QA0MQ,PT4H29M,0,False,False,False,370.24,421.61,9,465,1659434400||1659445560,2022-08-02T06:00:00.000-04:00||2022-08-02T09:06:00.000-04:00,1659439500||1659450540,2022-08-02T07:25:00.000-04:00||2022-08-02T10:29:00.000-04:00,BOS||EWR,PHL||BOS,Delta||United,DL||UA,Embraer 175||Airbus A319,5100||4980,280||185,coach||coach
0395bf21e4e4ac07c9ecbeb68dc99cb0,2022-05-04,2022-05-05,OAK,ORD,HA0OA0MC,PT6H22M,0,False,False,False,386.05,438.60,1,1839,1651782600||1651794300,2022-05-05T13:30:00.000-07:00||2022-05-05T17:45:00.000-06:00,1651788900||1651805520,2022-05-05T16:15:00.000-06:00||2022-05-05T21:52:00.000-05:00,SLC||ORD,OAK||SLC,Delta||Delta,DL||DL,||,6300||11220,588||1251,coach||coach
b9b2f3b21bfdc97df23088bc7d9aa6cf,2022-05-13,2022-06-22,SFO,LAX,UAVTH3BC,PT1H25M,0,True,False,True,78.14,98.60,9,339,1655902800,2022-06-22T06:00:00.000-07:00,1655907900,2022-06-22T07:25:00.000-07:00,LAX,SFO,Delta,DL,Airbus A220-100,5100,339,coach
e09b2ad865d285c1af562c84c4173e25,2022-05-10,2022-05-12,ATL,MIA,WAA3OHEN,PT8H43M,0,False,False,False,295.82,341.61,3,1866,1652377800||1652397300,2022-05-12T13:50:00.000-04:00||2022-05-12T19:15:00.000-04:00,1652386020||1652409180,2022-05-12T16:07:00.000-04:00||2022-05-12T22:33:00.000-04:00,EWR||MIA,ATL||EWR,United||United,UA||UA,Boeing 737 MAX 8||Airbus A320,8220||11880,762||1104,coach||coach
